service,period_start,period_end,sla_pct,uptime_s,downtime_s,excluded_s
11,2026-07-01 00:00,2026-07-02 00:00,-1,0,0,0
11,2026-07-02 00:00,2026-07-03 00:00,-1,0,0,0
11,2026-07-03 00:00,2026-07-04 00:00,-1,0,0,0
11,2026-07-04 00:00,2026-07-05 00:00,-1,0,0,0
11,2026-07-05 00:00,2026-07-06 00:00,-1,0,0,0
11,2026-07-06 00:00,2026-07-07 00:00,-1,0,0,0
11,2026-07-07 00:00,2026-07-08 00:00,-1,0,0,0
11,2026-07-08 00:00,2026-07-09 00:00,-1,0,0,0
8,2026-07-01 00:00,2026-07-02 00:00,-1,0,0,0
8,2026-07-02 00:00,2026-07-03 00:00,-1,0,0,0
8,2026-07-03 00:00,2026-07-04 00:00,-1,0,0,0
8,2026-07-04 00:00,2026-07-05 00:00,-1,0,0,0
8,2026-07-05 00:00,2026-07-06 00:00,-1,0,0,0
8,2026-07-06 00:00,2026-07-07 00:00,-1,0,0,0
8,2026-07-07 00:00,2026-07-08 00:00,-1,0,0,0
8,2026-07-08 00:00,2026-07-09 00:00,-1,0,0,0
19,2026-07-01 00:00,2026-07-02 00:00,-1,0,0,0
19,2026-07-02 00:00,2026-07-03 00:00,-1,0,0,0
19,2026-07-03 00:00,2026-07-04 00:00,-1,0,0,0
19,2026-07-04 00:00,2026-07-05 00:00,-1,0,0,0
19,2026-07-05 00:00,2026-07-06 00:00,-1,0,0,0
19,2026-07-06 00:00,2026-07-07 00:00,-1,0,0,0
19,2026-07-07 00:00,2026-07-08 00:00,-1,0,0,0
19,2026-07-08 00:00,2026-07-09 00:00,-1,0,0,0
4,2026-07-01 00:00,2026-07-02 00:00,-1,0,0,0
4,2026-07-02 00:00,2026-07-03 00:00,-1,0,0,0
4,2026-07-03 00:00,2026-07-04 00:00,-1,0,0,0
4,2026-07-04 00:00,2026-07-05 00:00,-1,0,0,0
4,2026-07-05 00:00,2026-07-06 00:00,-1,0,0,0
4,2026-07-06 00:00,2026-07-07 00:00,-1,0,0,0
4,2026-07-07 00:00,2026-07-08 00:00,-1,0,0,0
4,2026-07-08 00:00,2026-07-09 00:00,-1,0,0,0
14,2026-07-01 00:00,2026-07-02 00:00,-1,0,0,0
14,2026-07-02 00:00,2026-07-03 00:00,-1,0,0,0
14,2026-07-03 00:00,2026-07-04 00:00,-1,0,0,0
14,2026-07-04 00:00,2026-07-05 00:00,-1,0,0,0
14,2026-07-05 00:00,2026-07-06 00:00,-1,0,0,0
14,2026-07-06 00:00,2026-07-07 00:00,-1,0,0,0
14,2026-07-07 00:00,2026-07-08 00:00,-1,0,0,0
14,2026-07-08 00:00,2026-07-09 00:00,-1,0,0,0
3,2026-07-01 00:00,2026-07-02 00:00,-1,0,0,0
3,2026-07-02 00:00,2026-07-03 00:00,-1,0,0,0
3,2026-07-03 00:00,2026-07-04 00:00,-1,0,0,0
3,2026-07-04 00:00,2026-07-05 00:00,-1,0,0,0
3,2026-07-05 00:00,2026-07-06 00:00,-1,0,0,0
3,2026-07-06 00:00,2026-07-07 00:00,-1,0,0,0
3,2026-07-07 00:00,2026-07-08 00:00,-1,0,0,0
3,2026-07-08 00:00,2026-07-09 00:00,-1,0,0,0
17,2026-07-01 00:00,2026-07-02 00:00,-1,0,0,0
17,2026-07-02 00:00,2026-07-03 00:00,-1,0,0,0
17,2026-07-03 00:00,2026-07-04 00:00,-1,0,0,0
17,2026-07-04 00:00,2026-07-05 00:00,-1,0,0,0
17,2026-07-05 00:00,2026-07-06 00:00,-1,0,0,0
17,2026-07-06 00:00,2026-07-07 00:00,-1,0,0,0
17,2026-07-07 00:00,2026-07-08 00:00,-1,0,0,0
17,2026-07-08 00:00,2026-07-09 00:00,-1,0,0,0
20,2026-07-01 00:00,2026-07-02 00:00,100,1637,0,0
20,2026-07-02 00:00,2026-07-03 00:00,100,1715,0,0
20,2026-07-03 00:00,2026-07-04 00:00,100,1398,0,0
20,2026-07-04 00:00,2026-07-05 00:00,100,2068,0,0
20,2026-07-05 00:00,2026-07-06 00:00,100,1557,0,0
20,2026-07-06 00:00,2026-07-07 00:00,100,2113,0,0
20,2026-07-07 00:00,2026-07-08 00:00,100,1448,0,0
20,2026-07-08 00:00,2026-07-09 00:00,100,1378,0,0
